Model: Number CNN (D:\Semester 6 year 2 CS\COS30018 git\cos30018_group\src\models\digit_cnn_model.h5)
Image directory: D:\Semester 6 year 2 CS\COS30018 git\cos30018_group\data\synthetic-text\images\numbers
Output directory: D:\Semester 6 year 2 CS\COS30018 git\cos30018_group\documents\model-evaluation\Prediction_Results
Testing numbers_000001.png . . . 32223324 → 32223324 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000301.png . . . 330434 → 330439 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000302.png . . . 68425 → 68425 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000303.png . . . 767573 → 762573 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000304.png . . . 5416839 → 08716839 | 4/7 · 57.14% | [WRONG]
Testing numbers_000305.png . . . 5862 → 5862 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000306.png . . . 86362564 → 864202564 | 5/8 · 62.50% | [WRONG]
Testing numbers_000307.png . . . 195 → 195 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000308.png . . . 136998 → 136998 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000309.png . . . 41544326 → 41544326 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000310.png . . . 13134476 → 13134826 | 6/8 · 75.00% | [WRONG]
Testing numbers_000311.png . . . 99036317 → 180363171 | 5/8 · 62.50% | [WRONG]
Testing numbers_000312.png . . . 12862 → 12862 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000313.png . . . 1255 → 1255 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000314.png . . . 748930 → 248930 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000315.png . . . 418683 → 418683 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000316.png . . . 096668 → 070660 | 3/6 · 50.00% | [WRONG]
Testing numbers_000317.png . . . 00704611 → 00704611 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000318.png . . . 4309 → 4309 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000319.png . . . 79761 → 79261 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000320.png . . . 331 → 331 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000321.png . . . 5233818 → 5233818 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000322.png . . . 0801 → 0801 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000323.png . . . 81044777 → 81044227 | 6/8 · 75.00% | [WRONG]
Testing numbers_000324.png . . . 41786547 → 41286542 | 6/8 · 75.00% | [WRONG]
Testing numbers_000325.png . . . 74242 → 74242 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000326.png . . . 73520 → 13520 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000327.png . . . 414837 → 814837 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000328.png . . . 6499287 → 5489282 | 4/7 · 57.14% | [WRONG]
Testing numbers_000329.png . . . 0497154 → 0497154 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000330.png . . . 02962 → 02962 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000331.png . . . 8931 → 8931 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000332.png . . . 63261966 → 63261966 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000333.png . . . 4990400 → 4290400 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000334.png . . . 22679642 → 22678642 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000335.png . . . 8792 → 8282 | 2/4 · 50.00% | [WRONG]
Testing numbers_000336.png . . . 24625 → 24625 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000337.png . . . 525399 → 525387 | 4/6 · 66.67% | [WRONG]
Testing numbers_000338.png . . . 66712973 → 60712923 | 6/8 · 75.00% | [WRONG]
Testing numbers_000339.png . . . 55885802 → 55885802 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000340.png . . . 134997 → 134992 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000341.png . . . 70226760 → 20226760 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000342.png . . . 5937 → 5937 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000343.png . . . 11278 → 11278 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000344.png . . . 14631930 → 14631930 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000345.png . . . 9671 → 9611 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000346.png . . . 26772827 → 26772822 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000347.png . . . 71356170 → 71356170 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000348.png . . . 560266 → 560266 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000349.png . . . 36830 → 36830 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000350.png . . . 2225 → 2225 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000351.png . . . 3275227 → 3275227 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000352.png . . . 411816 → 411816 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000353.png . . . 73578365 → 29578305 | 5/8 · 62.50% | [WRONG]
Testing numbers_000354.png . . . 932363 → 932363 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000355.png . . . 69717449 → 69217449 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000356.png . . . 1540 → 1540 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000357.png . . . 2418 → 2418 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000358.png . . . 014 → 014 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000359.png . . . 6759 → 6789 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000360.png . . . 27605 → 21605 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000361.png . . . 8915 → 8847115 | 0/4 · 0.00% | [WRONG]
Testing numbers_000362.png . . . 171 → 171 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000363.png . . . 800 → 100 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000364.png . . . 6675 → 6620 | 2/4 · 50.00% | [WRONG]
Testing numbers_000365.png . . . 3338 → 3338 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000366.png . . . 5231 → 5231 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000367.png . . . 511 → 511 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000368.png . . . 3259917 → 3259917 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000369.png . . . 29128198 → 28128188 | 6/8 · 75.00% | [WRONG]
Testing numbers_000370.png . . . 2527739 → 2522238 | 4/7 · 57.14% | [WRONG]
Testing numbers_000371.png . . . 8749 → 8249 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000372.png . . . 85553 → 85553 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000373.png . . . 007 → 007 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000374.png . . . 38473 → 38423 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000375.png . . . 38479915 → 32479915 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000376.png . . . 6863 → 6803 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000377.png . . . 30303 → 30303 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000378.png . . . 907 → 702 | 1/3 · 33.33% | [WRONG]
Testing numbers_000379.png . . . 796 → 796 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000380.png . . . 3370 → 3370 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000381.png . . . 7001 → 7011 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000382.png . . . 21270563 → 21270563 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000383.png . . . 407 → 407 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000384.png . . . 928 → 128 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000385.png . . . 7480 → 7480 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000386.png . . . 06014 → 06014 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000387.png . . . 6985565 → 6928565 | 5/7 · 71.43% | [WRONG]
Testing numbers_000388.png . . . 8249 → 8244 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000389.png . . . 92140102 → 12140102 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000390.png . . . 39344 → 37374 | 3/5 · 60.00% | [WRONG]
Testing numbers_000391.png . . . 134 → 134 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000392.png . . . 75707 → 25207 | 3/5 · 60.00% | [WRONG]
Testing numbers_000393.png . . . 81929973 → 81828823 | 4/8 · 50.00% | [WRONG]
Testing numbers_000394.png . . . 004919 → 004918 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000395.png . . . 991 → 881 | 1/3 · 33.33% | [WRONG]
Testing numbers_000396.png . . . 45905 → 45805 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000397.png . . . 274 → 274 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000398.png . . . 3892 → 3892 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000399.png . . . 256 → 256 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000400.png . . . 0961300 → 0861300 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000401.png . . . 40468 → 40468 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000402.png . . . 707209 → 202201 | 3/6 · 50.00% | [WRONG]
Testing numbers_000403.png . . . 94622 → 94622 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000404.png . . . 85947224 → 55942228 | 5/8 · 62.50% | [WRONG]
Testing numbers_000405.png . . . 191804 → 181808 | 4/6 · 66.67% | [WRONG]
Testing numbers_000406.png . . . 069 → 069 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000407.png . . . 46120706 → 46120206 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000408.png . . . 8681 → 8681 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000409.png . . . 705327 → 709527 | 4/6 · 66.67% | [WRONG]
Testing numbers_000410.png . . . 22503585 → 22503585 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000411.png . . . 19905 → 19802 | 3/5 · 60.00% | [WRONG]
Testing numbers_000412.png . . . 050 → 050 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000413.png . . . 6187946 → 6182940 | 5/7 · 71.43% | [WRONG]
Testing numbers_000414.png . . . 30699 → 30699 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000415.png . . . 1107 → 1107 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000416.png . . . 2873813 → 2873813 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000417.png . . . 4726 → 4226 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000418.png . . . 47607423 → 47607423 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000419.png . . . 5127 → 5122 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000420.png . . . 4685116 → 4685116 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000421.png . . . 06653 → 06853 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000422.png . . . 48814 → 48811 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000423.png . . . 930020 → 130020 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000424.png . . . 53562114 → 53562614 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000425.png . . . 9013482 → 9013472 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000426.png . . . 927998 → 827998 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000427.png . . . 29017 → 29012 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000428.png . . . 1421004 → 1476008 | 4/7 · 57.14% | [WRONG]
Testing numbers_000429.png . . . 590 → 590 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000430.png . . . 151 → 151 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000431.png . . . 55158 → 55108 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000432.png . . . 3983387 → 3983352 | 5/7 · 71.43% | [WRONG]
Testing numbers_000433.png . . . 4944940 → 4984940 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000434.png . . . 493 → 493 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000435.png . . . 19425351 → 17425351 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000436.png . . . 31323060 → 31383060 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000437.png . . . 07506660 → 025091660 | 5/8 · 62.50% | [WRONG]
Testing numbers_000438.png . . . 1537031 → 1532031 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000439.png . . . 831 → 831 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000440.png . . . 544782 → 544782 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000441.png . . . 50032 → 50032 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000442.png . . . 10514776 → 10514216 | 6/8 · 75.00% | [WRONG]
Testing numbers_000443.png . . . 6127 → 6122 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000444.png . . . 077 → 027 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000445.png . . . 6523943 → 6523943 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000446.png . . . 1280129 → 1280129 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000447.png . . . 96650 → 96650 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000448.png . . . 863 → 863 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000449.png . . . 2056221 → 2056221 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000450.png . . . 564 → 564 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000451.png . . . 85101 → 85101 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000452.png . . . 017 → 012 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000453.png . . . 0547 → 0587 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000454.png . . . 19905747 → 19905247 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000455.png . . . 05247756 → 05242756 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000456.png . . . 469 → 469 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000457.png . . . 806230 → 806230 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000458.png . . . 44049 → 44049 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000459.png . . . 100740 → 100240 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000460.png . . . 81976 → 81976 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000461.png . . . 9306643 → 93066402 | 5/7 · 71.43% | [WRONG]
Testing numbers_000462.png . . . 118553 → 118353 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000463.png . . . 31576004 → 31526004 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000464.png . . . 0489732 → 0489132 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000465.png . . . 77670798 → 77870798 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000466.png . . . 139 → 139 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000467.png . . . 96213709 → 96213209 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000468.png . . . 679734 → 629234 | 4/6 · 66.67% | [WRONG]
Testing numbers_000469.png . . . 93372256 → 83372256 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000470.png . . . 761734 → 761734 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000471.png . . . 41698623 → 41690623 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000472.png . . . 904 → 904 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000473.png . . . 167905 → 117909 | 4/6 · 66.67% | [WRONG]
Testing numbers_000474.png . . . 373132 → 372132 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000475.png . . . 6578 → 6528 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000476.png . . . 2176411 → 2176411 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000477.png . . . 192561 → 182561 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000478.png . . . 67095 → 67095 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000479.png . . . 1466 → 1706 | 2/4 · 50.00% | [WRONG]
Testing numbers_000480.png . . . 8614 → 8014 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000481.png . . . 14427 → 14428 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000482.png . . . 2487679 → 2482629 | 5/7 · 71.43% | [WRONG]
Testing numbers_000483.png . . . 63983832 → 63983832 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000484.png . . . 355 → 3455 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000485.png . . . 18701685 → 18001085 | 6/8 · 75.00% | [WRONG]
Testing numbers_000486.png . . . 98589 → 98589 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000487.png . . . 435781 → 435781 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000488.png . . . 457205 → 452205 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000489.png . . . 26524779 → 26524279 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000490.png . . . 616 → 616 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000491.png . . . 31794 → 31294 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000492.png . . . 374 → 371 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000493.png . . . 00904018 → 00804018 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000494.png . . . 6173 → 6173 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000495.png . . . 3741 → 3781 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000496.png . . . 636745 → 636785 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000497.png . . . 74831483 → 74831483 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000498.png . . . 73711 → 23211 | 3/5 · 60.00% | [WRONG]
Testing numbers_000499.png . . . 99220887 → 18220887 | 6/8 · 75.00% | [WRONG]
Testing numbers_000500.png . . . 866288 → 866288 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000501.png . . . 06670 → 06670 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000502.png . . . 26829 → 26828 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000503.png . . . 44900414 → 448004161 | 5/8 · 62.50% | [WRONG]
Testing numbers_000504.png . . . 917990 → 913780 | 3/6 · 50.00% | [WRONG]
Testing numbers_000505.png . . . 40730022 → 40230022 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000506.png . . . 183796 → 183790 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000507.png . . . 09459476 → 08459826 | 5/8 · 62.50% | [WRONG]
Testing numbers_000508.png . . . 02989 → 02988 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000509.png . . . 90739148 → 90741188 | 5/8 · 62.50% | [WRONG]
Testing numbers_000510.png . . . 90269 → 10269 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000511.png . . . 0877163 → 0822163 | 5/7 · 71.43% | [WRONG]
Testing numbers_000512.png . . . 309330 → 309330 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000513.png . . . 13609 → 13609 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000514.png . . . 478 → 828 | 1/3 · 33.33% | [WRONG]
Testing numbers_000515.png . . . 9226805 → 9220805 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000516.png . . . 18233 → 18233 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000517.png . . . 47120995 → 47120975 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000518.png . . . 25856959 → 25850159 | 6/8 · 75.00% | [WRONG]
Testing numbers_000519.png . . . 283491 → 283491 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000520.png . . . 74316 → 74316 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000521.png . . . 681685 → 681685 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000522.png . . . 310 → 310 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000523.png . . . 725847 → 725847 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000524.png . . . 80260328 → 80260328 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000525.png . . . 781 → 781 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000526.png . . . 191892 → 181012 | 3/6 · 50.00% | [WRONG]
Testing numbers_000527.png . . . 066910 → 066910 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000528.png . . . 17763666 → 17763666 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000529.png . . . 45285 → 45205 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000530.png . . . 22937 → 22931 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000531.png . . . 3205 → 12052 | 2/4 · 50.00% | [WRONG]
Testing numbers_000532.png . . . 1468 → 1408 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000533.png . . . 32282098 → 32282098 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000534.png . . . 156807 → 150807 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000535.png . . . 755 → 755 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000536.png . . . 1359 → 1358 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000537.png . . . 0315939 → 0315939 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000538.png . . . 524 → 524 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000539.png . . . 3476 → 3426 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000540.png . . . 68022 → 62022 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000541.png . . . 57265 → 57265 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000542.png . . . 496 → 486 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000543.png . . . 07180771 → 07180271 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000544.png . . . 04529134 → 04529134 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000545.png . . . 591004 → 581004 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000546.png . . . 104377 → 104317 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000547.png . . . 095 → 095 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000548.png . . . 1704 → 1704 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000549.png . . . 5886973 → 5830973 | 5/7 · 71.43% | [WRONG]
Testing numbers_000550.png . . . 43851576 → 43851570 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000551.png . . . 138081 → 138081 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000552.png . . . 11174898 → 11131888 | 5/8 · 62.50% | [WRONG]
Testing numbers_000553.png . . . 98073162 → 91073162 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000554.png . . . 90729302 → 90729302 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000555.png . . . 657109 → 652109 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000556.png . . . 5224 → 5224 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000557.png . . . 318612 → 318612 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000558.png . . . 7594 → 7574 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000559.png . . . 3319786 → 3319286 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000560.png . . . 86705301 → 86205301 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000561.png . . . 0196372 → 0196372 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000562.png . . . 9060 → 9060 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000563.png . . . 643350 → 643350 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000564.png . . . 6117596 → 6111596 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000565.png . . . 219 → 219 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000566.png . . . 52886 → 52886 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000567.png . . . 1966 → 1806 | 2/4 · 50.00% | [WRONG]
Testing numbers_000568.png . . . 27398168 → 27388168 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000569.png . . . 586874 → 586824 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000570.png . . . 449 → 448 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000571.png . . . 9782257 → 9782257 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000572.png . . . 1737585 → 1737585 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000573.png . . . 1530825 → 1530828 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000574.png . . . 13644 → 13644 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000575.png . . . 0444 → 0441 | 3/4 · 75.00% | [NEAR MATCH]
Testing numbers_000576.png . . . 2011984 → 2011984 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000577.png . . . 8549692 → 8547692 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000578.png . . . 487 → 487 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000579.png . . . 39262 → 38262 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000580.png . . . 31125891 → 31125891 | 8/8 · 100.00% | [CORRECT]
Testing numbers_000581.png . . . 07378 → 07378 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000582.png . . . 105 → 105 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000583.png . . . 60278 → 60278 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000584.png . . . 6503812 → 0003882 | 4/7 · 57.14% | [WRONG]
Testing numbers_000585.png . . . 318 → 018 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000586.png . . . 517742 → 517742 | 6/6 · 100.00% | [CORRECT]
Testing numbers_000587.png . . . 480219 → 4840218 | 4/6 · 66.67% | [WRONG]
Testing numbers_000588.png . . . 4358 → 4358 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000589.png . . . 3463 → 3463 | 4/4 · 100.00% | [CORRECT]
Testing numbers_000590.png . . . 196 → 126 | 2/3 · 66.67% | [NEAR MATCH]
Testing numbers_000591.png . . . 05737373 → 05237323 | 6/8 · 75.00% | [WRONG]
Testing numbers_000592.png . . . 3107236 → 3107236 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000593.png . . . 00060983 → 00060183 | 7/8 · 87.50% | [NEAR MATCH]
Testing numbers_000594.png . . . 4051330 → 400013370 | 4/7 · 57.14% | [WRONG]
Testing numbers_000595.png . . . 6271974 → 6221974 | 6/7 · 85.71% | [NEAR MATCH]
Testing numbers_000596.png . . . 4300382 → 4300382 | 7/7 · 100.00% | [CORRECT]
Testing numbers_000597.png . . . 921134 → 721134 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000598.png . . . 66940 → 66940 | 5/5 · 100.00% | [CORRECT]
Testing numbers_000599.png . . . 30754 → 30254 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000600.png . . . 819422 → 817422 | 5/6 · 83.33% | [NEAR MATCH]
Testing numbers_000601.png . . . 00700 → 00200 | 4/5 · 80.00% | [NEAR MATCH]
Testing numbers_000602.png . . . 490 → 490 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000603.png . . . 108 → 108 | 3/3 · 100.00% | [CORRECT]
Testing numbers_000604.png . . . 2882 → 2882 | 4/4 · 100.00% | [CORRECT]
